last_update,between_20_64,deceased,investigation,male,number_of_cases,over_65,resolved,total_tested,under_19
2020-03-30 00:00:00,1319,23,5651,837,1706,343,431,48461,42
2020-03-31 00:00:00,1496,33,4280,974,1966,421,534,51629,46
2020-04-01 00:00:00,,37,3135,1189,2392,,689,57874,55
2020-04-02 00:00:00,,53,2052,1421,2793,,831,62733,68
2020-04-03 00:00:00,,67,1245,1657,3255,,1023,66753,82
2020-04-04 00:00:00,,94,1336,1857,3630,,1219,71338,93
2020-04-05 00:00:00,,119,981,2101,4038,,1449,75046,99
2020-04-06 00:00:00,,132,329,2269,4347,,1624,78796,107
2020-04-07 00:00:00,,153,691,2489,4726,,1802,81364,120
2020-04-08 00:00:00,,174,1102,2810,5276,,2074,84601,129
2020-04-09 00:00:00,,200,1208,3101,5759,,2305,88698,141
2020-04-10 00:00:00,,222,1598,3373,6237,,2574,92673,151
2020-04-11 00:00:00,,253,1517,3609,6648,,2858,96321,157
2020-04-12 00:00:00,,274,1619,3851,7049,,3121,103165,167
2020-04-13 00:00:00,,291,1534,4109,7470,,3357,108230,175
2020-04-14 00:00:00,,334,2107,4393,7953,,3568,113082,182
2020-04-15 00:00:00,,385,4429,4720,8447,,3902,119092,192
2020-04-16 00:00:00,,423,4323,5046,8961,,4194,128093,204
2020-04-17 00:00:00,,478,5993,5380,9525,,4556,136992,210
2020-04-18 00:00:00,,514,6833,5658,10010,,4875,146454,223
2020-04-19 00:00:00,,553,5736,5996,10578,,5209,156097,235
2020-04-20 00:00:00,,584,3799,6354,11184,,5515,164840,248
2020-04-21 00:00:00,,622,5546,6663,11735,,5806,174170,260
